iter	Passed	Remaining
555	67488	1146335
556	67607	1146171
557	67725	1145991
558	67829	1145572
559	67927	1145055
560	68024	1144537
561	68122	1144025
562	68247	1143968
563	68391	1144223
564	68527	1144353
565	68663	1144478
566	68797	1144559
567	68904	1144196
568	69004	1143722
569	69140	1143858
570	69279	1144014
571	69410	1144053
572	69508	1143560
573	69606	1143055
574	69712	1142686
575	69809	1142154
576	69907	1141653
577	70032	1141595
578	70153	1141482
579	70257	1141085
580	70362	1140703
581	70465	1140281
582	70563	1139795
583	70662	1139316
584	70799	1139451
585	70906	1139101
586	71008	1138674
587	71105	1138173
588	71202	1137672
589	71299	1137174
590	71415	1136972
591	71549	1137049
592	71658	1136742
593	71762	1136360
594	71860	1135878
595	71964	1135492
596	72066	1135073
597	72201	1135186
598	72304	1134779
599	72404	1134344
600	72505	1133905
601	72602	1133423
602	72700	1132943
603	72818	1132782
604	72939	1132668
605	73036	1132193
606	73135	1131725
607	73232	1131245
608	73330	1130781
609	73448	1130621
610	73633	1131491
611	73755	1131405
612	73854	1130952
613	73952	1130482
614	74049	1130003
615	74155	1129673
616	74284	1129677
617	74387	1129290
618	74483	1128808
619	74580	1128324
620	74677	1127851
621	74773	1127371
622	74873	1126944
623	75000	1126930
624	75098	1126482
625	75202	1126113
626	75303	1125705
627	75402	1125267
628	75500	1124818
629	75616	1124638
630	75744	1124637
631	75845	1124247
632	75949	1123881
633	76054	1123536
634	76159	1123201
635	76269	1122934
636	76414	1123181
637	76547	1123262
638	76682	1123363
639	76814	1123412
640	76949	1123506
641	77094	1123749
642	77242	1124045
643	77384	1124241
644	77508	1124176
645	77636	1124165
646	77770	1124252
647	77911	1124426
648	78020	1124141
649	78128	1123853
650	78229	1123449
651	78326	1123005
652	78429	1122629
653	78539	1122376
654	78671	1122424
655	78779	1122123
656	78877	1121687
657	78979	1121318
658	79079	1120916
659	79182	1120550
660	79309	1120533
661	79422	1120316
662	79528	1119992
663	79629	1119606
664	79728	1119190
665	79830	1118819
666	79936	1118513
667	80066	1118529
668	80175	1118258
669	80278	1117914
670	80380	1117545
671	80478	1117123
672	80581	1116771
673	80710	1116771
674	80826	1116598
675	80925	1116192
676	81025	1115812
677	81129	1115466
678	81231	1115114
679	81334	1114758
680	81476	1114954
681	81578	1114586
682	81682	1114258
683	81781	1113849
684	81884	1113504
685	81982	1113095
686	82103	1112999
687	82220	1112849
688	82318	1112428
689	82417	1112041
690	82514	1111616
691	82611	1111200
692	82708	1110782
693	82849	1110948
694	82949	1110573
695	83049	1110196
696	83153	1109861
697	83257	1109542
698	83365	1109268
699	83499	1109345
700	83621	1109264
701	83727	1108968
702	83839	1108757
703	83942	1108419
704	84067	1108377
705	84184	1108235
706	84306	1108144
707	84411	1107838
708	84509	1107446
709	84648	1107582
710	84786	1107705
711	84933	1107950
712	85070	1108070
713	85202	1108111
714	85335	1108170
715	85466	1108198
716	85595	1108203
717	85744	1108469
718	85856	1108250
719	85991	1108333
720	86129	1108458
721	86273	1108655
722	86381	1108378
723	86490	1108124
724	86602	1107913
725	86703	1107554
726	86814	1107334
727	86950	1107428
728	87069	1107304
729	87176	1107022
730	87290	1106834
731	87398	1106573
732	87517	1106447
733	87644	1106420
734	87769	1106374
735	87878	1106119
736	87982	1105813
737	88091	1105561
738	88201	1105329
739	88341	1105466
740	88471	1105476
741	88605	1105540
742	88737	1105570
743	88868	1105598
744	89036	1106082
745	89165	1106084
746	89270	1105786
747	89368	1105391
748	89467	1105025
749	89564	1104634
750	89673	1104381
751	89793	1104264
752	89890	1103876
753	89994	1103569
754	90096	1103233
755	90194	1102857
756	90310	1102697
757	90443	1102747
758	90545	1102409
759	90645	1102061
760	90746	1101714
761	90847	1101371
762	90951	1101067
763	91087	1101153
764	91191	1100859
765	91297	1100581
766	91398	1100236
767	91501	1099925
768	91640	1100042
769	91801	1100423
770	91918	1100279
771	92038	1100167
772	92162	1100102
773	92282	1099995
774	92385	1099689
775	92520	1099749
776	92630	1099525
777	92734	1099225
778	92850	1099068
779	92966	1098915
780	93173	1099833
781	93328	1100135
782	93482	1100423
783	93632	1100657
784	93795	1101055
785	93965	1101519
786	94107	1101670
787	94247	1101784
788	94384	1101872
789	94525	1101996
790	94694	1102450
791	94807	1102256
792	94910	1101941
793	95023	1101746
794	95130	1101473
795	95233	1101168
796	95369	1101238
797	95504	1101291
798	95611	1101025
799	95720	1100789
800	95827	1100525
801	95933	1100246
802	96064	1100256
803	96212	1100460
804	96316	1100160
805	96422	1099888
806	96526	1099584
807	96631	1099302
808	96744	1099108
809	96950	1099974
810	97060	1099743
811	97171	1099521
812	97278	1099258
813	97382	1098966
814	97506	1098896
815	97690	1099494
816	97809	1099363
817	98082	1100975
818	98230	1101169
819	98634	1104224
820	98790	1104507
821	98998	1105357
822	99124	1105301
823	99250	1105241
824	99378	1105209
825	99499	1105096
826	99661	1105435
827	99774	1105234
828	99892	1105085
829	100004	1104869
830	100115	1104641
831	100224	1104396
832	100372	1104574
833	100483	1104351
834	100580	1103980
835	100678	1103609
836	100977	1105449
837	101183	1106260
838	101486	1108122
839	101709	1109115
840	101852	1109234
841	101983	1109227
842	102085	1108896
843	102234	1109072
